"","date","Reference","Gear","Description","cpue_gper100m2","long_name","bay_segment","Longitude","Latitude"
"47",1998-04-15,"TBM1998041509",160,"None",NA,"Old Tampa Bay","OTB",-82.677667,27.915167
"48",1998-04-15,"TBM1998041513",20,"None",NA,"Old Tampa Bay","OTB",-82.673833,27.913833
"49",1998-04-15,"TBM1998041516",160,"None",NA,"Old Tampa Bay","OTB",-82.688333,27.919667
"50",1998-04-16,"TBM1998041603",20,"None",NA,"Old Tampa Bay","OTB",-82.554333,27.833167
"51",1998-04-16,"TBM1998041604",160,"None",NA,"Old Tampa Bay","OTB",-82.633,27.905333
"52",1998-04-16,"TBM1998041605",20,"Ulva spp.",1.5,"Old Tampa Bay","OTB",-82.5885,27.834
"53",1998-04-16,"TBM1998041605",20,"Algae: Mixed",0.642857142857143,"Old Tampa Bay","OTB",-82.5885,27.834
"54",1998-04-16,"TBM1998041607",160,"Algae: Mixed",0.0728155339805825,"Old Tampa Bay","OTB",-82.597167,27.876333
"55",1998-04-16,"TBM1998041607",160,"None",NA,"Old Tampa Bay","OTB",-82.597167,27.876333
"56",1998-04-16,"TBM1998041609",20,"None",NA,"Old Tampa Bay","OTB",-82.533,27.885667
"57",1998-05-12,"TBM1998051201",160,"Algae: Mixed",0.121359223300971,"Old Tampa Bay","OTB",-82.687167,28.023167
"58",1998-05-12,"TBM1998051201",160,"None",NA,"Old Tampa Bay","OTB",-82.687167,28.023167
"59",1998-05-12,"TBM1998051202",20,"Gracilaria spp.",1.14285714285714,"Old Tampa Bay","OTB",-82.635833,27.997667
"60",1998-05-12,"TBM1998051202",20,"Ulva spp.",0.285714285714286,"Old Tampa Bay","OTB",-82.635833,27.997667
"61",1998-05-12,"TBM1998051203",160,"None",NA,"Old Tampa Bay","OTB",-82.6375,27.896667
"62",1998-05-12,"TBM1998051204",160,"None",NA,"Old Tampa Bay","OTB",-82.64,27.901167
"63",1998-05-12,"TBM1998051205",20,"None",NA,"Old Tampa Bay","OTB",-82.656333,27.912167
"64",1998-05-12,"TBM1998051206",20,"None",NA,"Old Tampa Bay","OTB",-82.660333,27.912167
"65",1998-05-12,"TBM1998051207",160,"None",NA,"Old Tampa Bay","OTB",-82.627333,27.888833
"66",1998-05-13,"TBM1998051301",20,"None",NA,"Old Tampa Bay","OTB",-82.533667,27.898167
"67",1998-05-13,"TBM1998051302",20,"None",NA,"Old Tampa Bay","OTB",-82.537,27.9325
"68",1998-05-13,"TBM1998051303",160,"Algae: Mixed",0.0970873786407767,"Old Tampa Bay","OTB",-82.6045,27.865667
"69",1998-05-13,"TBM1998051303",160,"None",NA,"Old Tampa Bay","OTB",-82.6045,27.865667
"70",1998-05-13,"TBM1998051304",160,"None",NA,"Old Tampa Bay","OTB",-82.588167,27.831833
"71",1998-05-13,"TBM1998051307",160,"None",NA,"Old Tampa Bay","OTB",-82.5525,27.846833
"72",1998-06-15,"TBM1998061501",20,"Grasses: Mixed",0.357142857142857,"Old Tampa Bay","OTB",-82.607833,27.987833
"73",1998-06-15,"TBM1998061501",20,"None",NA,"Old Tampa Bay","OTB",-82.607833,27.987833
"74",1998-06-15,"TBM1998061502",160,"Algae: Mixed",0.00728155339805825,"Old Tampa Bay","OTB",-82.631333,28.003333
"75",1998-06-15,"TBM1998061502",160,"None",NA,"Old Tampa Bay","OTB",-82.631333,28.003333
"76",1998-06-15,"TBM1998061503",20,"Ulva spp.",0.714285714285714,"Old Tampa Bay","OTB",-82.6335,27.995
"77",1998-06-15,"TBM1998061503",20,"Gracilaria spp.",0.714285714285714,"Old Tampa Bay","OTB",-82.6335,27.995
"78",1998-06-15,"TBM1998061504",160,"Leaf Litter",0.0242718446601942,"Old Tampa Bay","OTB",-82.654333,28.006667
"79",1998-06-15,"TBM1998061504",160,"Gracilaria spp.",0.0242718446601942,"Old Tampa Bay","OTB",-82.654333,28.006667
"80",1998-06-15,"TBM1998061505",20,"Algae: Mixed",3.21428571428571,"Old Tampa Bay","OTB",-82.680333,27.997
"81",1998-06-15,"TBM1998061505",20,"Ctenophores",0.357142857142857,"Old Tampa Bay","OTB",-82.680333,27.997
"82",1998-06-15,"TBM1998061506",20,"Ctenophores",1.07142857142857,"Old Tampa Bay","OTB",-82.682833,27.990167
"83",1998-06-15,"TBM1998061506",20,"None",NA,"Old Tampa Bay","OTB",-82.682833,27.990167
"84",1998-06-15,"TBM1998061507",160,"None",NA,"Old Tampa Bay","OTB",-82.721833,27.945667
"85",1998-06-15,"TBM1998061508",160,"None",NA,"Old Tampa Bay","OTB",-82.688667,27.9195
"86",1998-06-18,"TBM1998061805",20,"Algae: Mixed",21.4285714285714,"Old Tampa Bay","OTB",-82.593333,27.847833
"87",1998-06-18,"TBM1998061805",20,"None",NA,"Old Tampa Bay","OTB",-82.593333,27.847833
"88",1998-06-19,"TBM1998061901",20,"None",NA,"Old Tampa Bay","OTB",-82.539667,27.87
"89",1998-06-19,"TBM1998061902",160,"Algae: Mixed",0.0606796116504854,"Old Tampa Bay","OTB",-82.534167,27.8825
"90",1998-06-19,"TBM1998061902",160,"Grasses: Mixed",0.0606796116504854,"Old Tampa Bay","OTB",-82.534167,27.8825
"91",1998-06-19,"TBM1998061903",160,"None",NA,"Old Tampa Bay","OTB",-82.545833,27.864167
"92",1998-06-19,"TBM1998061904",160,"Grasses: Mixed",0.242718446601942,"Old Tampa Bay","OTB",-82.541667,27.843333
"93",1998-06-19,"TBM1998061904",160,"None",NA,"Old Tampa Bay","OTB",-82.541667,27.843333
"94",1998-06-19,"TBM1998061905",20,"None",NA,"Old Tampa Bay","OTB",-82.535833,27.904167
"95",1998-07-17,"TBM1998071703",160,"Algae: Mixed",0.679611650485437,"Old Tampa Bay","OTB",-82.541333,27.844667
"96",1998-07-17,"TBM1998071703",160,"Grasses: Mixed",0.29126213592233,"Old Tampa Bay","OTB",-82.541333,27.844667
"97",1998-07-17,"TBM1998071704",20,"None",NA,"Old Tampa Bay","OTB",-82.5435,27.843667
"98",1998-07-17,"TBM1998071705",20,"Algae: Mixed",2,"Old Tampa Bay","OTB",-82.540167,27.864
"99",1998-07-17,"TBM1998071705",20,"Grasses: Mixed",0.857142857142857,"Old Tampa Bay","OTB",-82.540167,27.864
"100",1998-07-21,"TBM1998072101",20,"Algae: Mixed",53.5714285714286,"Old Tampa Bay","OTB",-82.593833,27.871333
"101",1998-07-21,"TBM1998072101",20,"None",NA,"Old Tampa Bay","OTB",-82.593833,27.871333
"102",1998-07-21,"TBM1998072102",20,"Algae: Mixed",10.7142857142857,"Old Tampa Bay","OTB",-82.5955,27.8645
"103",1998-07-21,"TBM1998072102",20,"None",NA,"Old Tampa Bay","OTB",-82.5955,27.8645
"104",1998-07-21,"TBM1998072103",160,"None",NA,"Old Tampa Bay","OTB",-82.6275,27.910833
"105",1998-07-21,"TBM1998072104",160,"None",NA,"Old Tampa Bay","OTB",-82.672333,27.912167
"106",1998-07-21,"TBM1998072105",20,"Algae: Mixed",7.14285714285714,"Old Tampa Bay","OTB",-82.681333,27.917333
"107",1998-07-21,"TBM1998072105",20,"None",NA,"Old Tampa Bay","OTB",-82.681333,27.917333
"108",1998-07-22,"TBM1998072201",160,"Algae: Mixed",0.0242718446601942,"Old Tampa Bay","OTB",-82.5985,27.980667
"109",1998-07-22,"TBM1998072201",160,"None",NA,"Old Tampa Bay","OTB",-82.5985,27.980667
"110",1998-07-22,"TBM1998072202",20,"Algae: Mixed",25,"Old Tampa Bay","OTB",-82.654167,28.003333
"111",1998-07-22,"TBM1998072202",20,"Ctenophores",10.7142857142857,"Old Tampa Bay","OTB",-82.654167,28.003333
"112",1998-07-22,"TBM1998072203",160,"Algae: Mixed",2.42718446601942,"Old Tampa Bay","OTB",-82.665833,28.0175
"113",1998-07-22,"TBM1998072203",160,"None",NA,"Old Tampa Bay","OTB",-82.665833,28.0175
"114",1998-07-22,"TBM1998072204",20,"Algae: Mixed",3.57142857142857,"Old Tampa Bay","OTB",-82.669167,28.030167
"115",1998-07-22,"TBM1998072204",20,"None",NA,"Old Tampa Bay","OTB",-82.669167,28.030167
"116",1998-07-22,"TBM1998072205",20,"None",NA,"Old Tampa Bay","OTB",-82.688667,27.96
"117",1998-07-22,"TBM1998072206",20,"Ctenophores",0.357142857142857,"Old Tampa Bay","OTB",-82.572667,27.962833
"118",1998-07-22,"TBM1998072206",20,"None",NA,"Old Tampa Bay","OTB",-82.572667,27.962833
"119",1998-08-13,"TBM1998081301",160,"Ruppia spp.",0.0728155339805825,"Old Tampa Bay","OTB",-82.723667,27.949667
"120",1998-08-13,"TBM1998081302",160,"None",NA,"Old Tampa Bay","OTB",-82.686333,27.918333
"121",1998-08-13,"TBM1998081303",20,"None",NA,"Old Tampa Bay","OTB",-82.643167,27.91
"122",1998-08-13,"TBM1998081304",160,"Grasses: Mixed",1.21359223300971,"Old Tampa Bay","OTB",-82.5955,27.876667
"123",1998-08-13,"TBM1998081304",160,"None",NA,"Old Tampa Bay","OTB",-82.5955,27.876667
"124",1998-08-17,"TBM1998081701",20,"Ruppia spp.",0.357142857142857,"Old Tampa Bay","OTB",-82.7225,27.95
"125",1998-08-17,"TBM1998081701",20,"None",NA,"Old Tampa Bay","OTB",-82.7225,27.95
"126",1998-08-17,"TBM1998081703",20,"None",NA,"Old Tampa Bay","OTB",-82.695,27.960833
"127",1998-08-17,"TBM1998081708",20,"Grasses: Mixed",0.357142857142857,"Old Tampa Bay","OTB",-82.549167,27.960833
"128",1998-08-17,"TBM1998081708",20,"None",NA,"Old Tampa Bay","OTB",-82.549167,27.960833
"129",1998-08-17,"TBM1998081712",160,"Grasses: Mixed",0.109223300970874,"Old Tampa Bay","OTB",-82.615833,28.005
"130",1998-08-17,"TBM1998081712",160,"Oysters",0.0121359223300971,"Old Tampa Bay","OTB",-82.615833,28.005
"131",1998-08-17,"TBM1998081715",20,"Ctenophores",3.21428571428571,"Old Tampa Bay","OTB",-82.661,27.997833
"132",1998-08-17,"TBM1998081715",20,"Grasses: Mixed",0.357142857142857,"Old Tampa Bay","OTB",-82.661,27.997833
"133",1998-08-17,"TBM1998081717",160,"Algae: Mixed",0.364077669902913,"Old Tampa Bay","OTB",-82.688167,28.025167
"134",1998-08-17,"TBM1998081717",160,"None",NA,"Old Tampa Bay","OTB",-82.688167,28.025167
"135",1998-08-19,"TBM1998081901",160,"Algae: Mixed",0.485436893203883,"Old Tampa Bay","OTB",-82.549833,27.851
"136",1998-08-19,"TBM1998081901",160,"None",NA,"Old Tampa Bay","OTB",-82.549833,27.851
"137",1998-09-11,"TBM1998091101",20,"Halodule spp.",1.42857142857143,"Old Tampa Bay","OTB",-82.532833,27.871667
"138",1998-09-11,"TBM1998091101",20,"None",NA,"Old Tampa Bay","OTB",-82.532833,27.871667
"139",1998-09-11,"TBM1998091102",20,"None",NA,"Old Tampa Bay","OTB",-82.5405,27.838167
"140",1998-09-11,"TBM1998091103",20,"None",NA,"Old Tampa Bay","OTB",-82.547167,27.941333
"141",1998-09-11,"TBM1998091104",20,"None",NA,"Old Tampa Bay","OTB",-82.618333,27.983167
"142",1998-09-11,"TBM1998091105",160,"None",NA,"Old Tampa Bay","OTB",-82.582667,27.971333
"143",1998-09-14,"TBM1998091401",160,"Ruppia spp.",0.121359223300971,"Old Tampa Bay","OTB",-82.642333,27.902333
"144",1998-09-14,"TBM1998091401",160,"None",NA,"Old Tampa Bay","OTB",-82.642333,27.902333
"145",1998-09-14,"TBM1998091402",160,"None",NA,"Old Tampa Bay","OTB",-82.675833,27.913333
"146",1998-09-14,"TBM1998091403",20,"None",NA,"Old Tampa Bay","OTB",-82.723833,27.949167
"147",1998-09-14,"TBM1998091404",160,"None",NA,"Old Tampa Bay","OTB",-82.707833,27.958833
"148",1998-09-14,"TBM1998091405",20,"Ctenophores",0.357142857142857,"Old Tampa Bay","OTB",-82.634167,27.995833
"149",1998-09-14,"TBM1998091405",20,"Ruppia spp.",0.357142857142857,"Old Tampa Bay","OTB",-82.634167,27.995833
"150",1998-09-14,"TBM1998091406",20,"None",NA,"Old Tampa Bay","OTB",-82.677167,28.034167
"151",1998-09-21,"TBM1998092101",160,"None",NA,"Old Tampa Bay","OTB",-82.598,27.874333
"152",1998-09-21,"TBM1998092107",160,"None",NA,"Old Tampa Bay","OTB",-82.620333,27.861667
"153",1998-10-07,"TBM1998100707",20,"Algae: Mixed",35.7142857142857,"Old Tampa Bay","OTB",-82.592667,27.855667
"154",1998-10-12,"TBM1998101201",160,"None",NA,"Old Tampa Bay","OTB",-82.6335,27.9035
"155",1998-10-12,"TBM1998101203",160,"Algae: Mixed",1.57766990291262,"Old Tampa Bay","OTB",-82.609,27.873
"156",1998-10-12,"TBM1998101203",160,"None",NA,"Old Tampa Bay","OTB",-82.609,27.873
"157",1998-10-13,"TBM1998101301",20,"None",NA,"Old Tampa Bay","OTB",-82.701667,27.960167
"158",1998-10-13,"TBM1998101302",20,"None",NA,"Old Tampa Bay","OTB",-82.718833,27.9525
"159",1998-10-13,"TBM1998101305",160,"None",NA,"Old Tampa Bay","OTB",-82.72,27.936
"160",1998-10-13,"TBM1998101308",20,"None",NA,"Old Tampa Bay","OTB",-82.5355,27.937167
"161",1998-10-13,"TBM1998101310",160,"None",NA,"Old Tampa Bay","OTB",-82.6945,27.965
"162",1998-10-13,"TBM1998101313",20,"None",NA,"Old Tampa Bay","OTB",-82.63,28.006667
"163",1998-10-13,"TBM1998101317",160,"Algae: Drift",1.74757281553398,"Old Tampa Bay","OTB",-82.656167,28.011
"164",1998-10-13,"TBM1998101317",160,"None",NA,"Old Tampa Bay","OTB",-82.656167,28.011
"165",1998-10-13,"TBM1998101320",20,"None",NA,"Old Tampa Bay","OTB",-82.662333,27.999667
"166",1998-11-02,"TBM1998110207",20,"Algae: Mixed",3.57142857142857,"Old Tampa Bay","OTB",-82.535,27.871333
"167",1998-11-02,"TBM1998110207",20,"None",NA,"Old Tampa Bay","OTB",-82.535,27.871333
"168",1998-11-02,"TBM1998110208",20,"None",NA,"Old Tampa Bay","OTB",-82.531667,27.878333
"169",1998-11-03,"TBM1998110301",160,"Algae: Drift",0.364077669902913,"Old Tampa Bay","OTB",-82.553333,27.847833
"170",1998-11-03,"TBM1998110301",160,"None",NA,"Old Tampa Bay","OTB",-82.553333,27.847833
"171",1998-11-03,"TBM1998110302",160,"None",NA,"Old Tampa Bay","OTB",-82.552833,27.855667
"172",1998-11-03,"TBM1998110303",160,"Oysters",0.242718446601942,"Old Tampa Bay","OTB",-82.538667,27.8665
"173",1998-11-03,"TBM1998110303",160,"None",NA,"Old Tampa Bay","OTB",-82.538667,27.8665
"174",1998-11-03,"TBM1998110304",160,"Algae: Drift",0.0728155339805825,"Old Tampa Bay","OTB",-82.539167,27.881667
"175",1998-11-03,"TBM1998110304",160,"None",NA,"Old Tampa Bay","OTB",-82.539167,27.881667
"176",1998-11-04,"TBM1998110401",160,"None",NA,"Old Tampa Bay","OTB",-82.649667,27.9665
"177",1998-11-04,"TBM1998110405",160,"None",NA,"Old Tampa Bay","OTB",-82.664333,28.006
"178",1998-11-04,"TBM1998110408",160,"Algae: Filamentous green",0.0606796116504854,"Old Tampa Bay","OTB",-82.594333,27.973
"179",1998-11-04,"TBM1998110408",160,"Halodule spp.",0.0606796116504854,"Old Tampa Bay","OTB",-82.594333,27.973
"180",1998-11-04,"TBM1998110409",20,"Algae: Mixed",1.42857142857143,"Old Tampa Bay","OTB",-82.716333,27.955667
"181",1998-11-04,"TBM1998110409",20,"None",NA,"Old Tampa Bay","OTB",-82.716333,27.955667
"182",1998-11-04,"TBM1998110410",20,"None",NA,"Old Tampa Bay","OTB",-82.6925,27.968667
"183",1998-11-04,"TBM1998110411",160,"Algae: Mixed",0.364077669902913,"Old Tampa Bay","OTB",-82.605167,27.973333
"184",1998-11-04,"TBM1998110411",160,"None",NA,"Old Tampa Bay","OTB",-82.605167,27.973333
"185",1998-11-04,"TBM1998110413",20,"None",NA,"Old Tampa Bay","OTB",-82.622333,27.993833
"186",1998-11-04,"TBM1998110415",20,"Algae: Mixed",2.14285714285714,"Old Tampa Bay","OTB",-82.613,27.984333
"187",1998-11-04,"TBM1998110415",20,"None",NA,"Old Tampa Bay","OTB",-82.613,27.984333
"188",1998-11-04,"TBM1998110416",20,"None",NA,"Old Tampa Bay","OTB",-82.5705,27.9745
"189",1998-12-04,"TBM1998120402",160,"Algae: Mixed",24.247572815534,"Old Tampa Bay","OTB",-82.5995,27.864667
"190",1998-12-04,"TBM1998120402",160,"None",NA,"Old Tampa Bay","OTB",-82.5995,27.864667
"191",1998-12-04,"TBM1998120404",160,"None",NA,"Old Tampa Bay","OTB",-82.596167,27.877167
"192",1998-12-04,"TBM1998120406",160,"None",NA,"Old Tampa Bay","OTB",-82.640833,27.903333
"193",1998-12-04,"TBM1998120408",160,"None",NA,"Old Tampa Bay","OTB",-82.6905,27.927
"194",1998-12-04,"TBM1998120410",20,"Algae: Mixed",0.714285714285714,"Old Tampa Bay","OTB",-82.653,27.912167
"195",1998-12-04,"TBM1998120410",20,"None",NA,"Old Tampa Bay","OTB",-82.653,27.912167
"196",1998-12-07,"TBM1998120702",160,"Algae: Drift",0.242718446601942,"Old Tampa Bay","OTB",-82.552667,27.8475
"197",1998-12-07,"TBM1998120702",160,"None",NA,"Old Tampa Bay","OTB",-82.552667,27.8475
"198",1998-12-07,"TBM1998120703",20,"None",NA,"Old Tampa Bay","OTB",-82.552833,27.855167
"199",1998-12-08,"TBM1998120801",160,"None",NA,"Old Tampa Bay","OTB",-82.663833,28.006833
"200",1998-12-08,"TBM1998120803",160,"None",NA,"Old Tampa Bay","OTB",-82.627167,28.001333
"201",1998-12-08,"TBM1998120805",20,"None",NA,"Old Tampa Bay","OTB",-82.6325,27.999167
"202",1998-12-08,"TBM1998120807",20,"Algae: Mixed",0.714285714285714,"Old Tampa Bay","OTB",-82.577667,27.975667
"203",1998-12-08,"TBM1998120807",20,"None",NA,"Old Tampa Bay","OTB",-82.577667,27.975667
"204",1998-12-08,"TBM1998120810",20,"None",NA,"Old Tampa Bay","OTB",-82.665333,27.9645
"205",1998-12-08,"TBM1998120811",20,"Algae: Mixed",0.0714285714285714,"Old Tampa Bay","OTB",-82.661,27.995
"206",1998-12-08,"TBM1998120811",20,"None",NA,"Old Tampa Bay","OTB",-82.661,27.995
"207",1999-01-05,"TBM1999010501",160,"None",NA,"Old Tampa Bay","OTB",-82.669167,28.030333
"208",1999-01-05,"TBM1999010502",20,"None",NA,"Old Tampa Bay","OTB",-82.687,27.971333
"209",1999-01-05,"TBM1999010503",160,"Mud",1.09223300970874,"Old Tampa Bay","OTB",-82.691833,27.9625
"210",1999-01-05,"TBM1999010503",160,"Shell",0.121359223300971,"Old Tampa Bay","OTB",-82.691833,27.9625
"211",1999-01-05,"TBM1999010504",20,"None",NA,"Old Tampa Bay","OTB",-82.584,27.975333
"212",1999-01-12,"TBM1999011201",20,"None",NA,"Old Tampa Bay","OTB",-82.531667,27.924
"213",1999-01-12,"TBM1999011203",20,"Algae: Filamentous green",0.714285714285714,"Old Tampa Bay","OTB",-82.6965,27.921833
"214",1999-01-12,"TBM1999011203",20,"None",NA,"Old Tampa Bay","OTB",-82.6965,27.921833
"215",1999-01-12,"TBM1999011205",160,"None",NA,"Old Tampa Bay","OTB",-82.688,27.919333
"216",1999-01-12,"TBM1999011208",160,"None",NA,"Old Tampa Bay","OTB",-82.633833,27.907333
"217",1999-01-12,"TBM1999011210",20,"None",NA,"Old Tampa Bay","OTB",-82.624,27.889
"218",1999-01-12,"TBM1999011211",160,"None",NA,"Old Tampa Bay","OTB",-82.6085,27.869167
"219",1999-02-01,"TBM1999020101",20,"None",NA,"Old Tampa Bay","OTB",-82.537167,27.902333
"220",1999-02-01,"TBM1999020102",20,"Grasses: Mixed",0.0714285714285714,"Old Tampa Bay","OTB",-82.622167,27.888833
"221",1999-02-01,"TBM1999020103",20,"None",NA,"Old Tampa Bay","OTB",-82.622167,27.888833
"222",1999-02-01,"TBM1999020104",160,"None",NA,"Old Tampa Bay","OTB",-82.600667,27.875333
"223",1999-02-01,"TBM1999020105",160,"None",NA,"Old Tampa Bay","OTB",-82.5925,27.875833
"224",1999-02-11,"TBM1999021102",20,"Algae: Mixed",0.714285714285714,"Old Tampa Bay","OTB",-82.584333,27.832833
"225",1999-02-11,"TBM1999021103",20,"None",NA,"Old Tampa Bay","OTB",-82.544833,27.846
"226",1999-02-11,"TBM1999021104",160,"Algae: Drift",0.242718446601942,"Old Tampa Bay","OTB",-82.597,27.852667
"227",1999-02-11,"TBM1999021104",160,"None",NA,"Old Tampa Bay","OTB",-82.597,27.852667
"228",1999-02-15,"TBM1999021502",20,"Algae: Mixed",35.7142857142857,"Old Tampa Bay","OTB",-82.635167,27.992667
"229",1999-02-15,"TBM1999021502",20,"None",NA,"Old Tampa Bay","OTB",-82.635167,27.992667
"230",1999-02-15,"TBM1999021503",20,"None",NA,"Old Tampa Bay","OTB",-82.703,27.930167
"231",1999-02-15,"TBM1999021504",160,"Algae: Mixed",0.121359223300971,"Old Tampa Bay","OTB",-82.718833,27.954167
"232",1999-02-15,"TBM1999021504",160,"None",NA,"Old Tampa Bay","OTB",-82.718833,27.954167
"233",1999-02-15,"TBM1999021507",160,"None",NA,"Old Tampa Bay","OTB",-82.645833,27.9095
"234",1999-02-15,"TBM1999021509",160,"Algae: Mixed",24.247572815534,"Old Tampa Bay","OTB",-82.660167,27.911833
"235",1999-02-15,"TBM1999021509",160,"None",NA,"Old Tampa Bay","OTB",-82.660167,27.911833
"236",1999-02-15,"TBM1999021511",160,"None",NA,"Old Tampa Bay","OTB",-82.6325,27.905
"237",1999-03-02,"TBM1999030202",20,"None",NA,"Old Tampa Bay","OTB",-82.6885,27.967667
"238",1999-03-02,"TBM1999030204",160,"Algae: Mixed",0.242718446601942,"Old Tampa Bay","OTB",-82.721,27.946
"239",1999-03-02,"TBM1999030204",160,"None",NA,"Old Tampa Bay","OTB",-82.721,27.946
"240",1999-03-02,"TBM1999030206",20,"Algae: Mixed",0.357142857142857,"Old Tampa Bay","OTB",-82.7165,27.956333
"241",1999-03-02,"TBM1999030206",20,"None",NA,"Old Tampa Bay","OTB",-82.7165,27.956333
"242",1999-03-02,"TBM1999030208",160,"None",NA,"Old Tampa Bay","OTB",-82.609,27.973167
"243",1999-03-02,"TBM1999030210",20,"None",NA,"Old Tampa Bay","OTB",-82.605667,27.979333
"244",1999-03-02,"TBM1999030211",160,"Algae: Mixed",0.364077669902913,"Old Tampa Bay","OTB",-82.654333,28.010333
"245",1999-03-02,"TBM1999030211",160,"None",NA,"Old Tampa Bay","OTB",-82.654333,28.010333
